flag,timestamp,UKF_px,UKF_py,UKF_pz,UKF_qx,UKF_qy,UKF_qz,UKF_qw,UKF_vx,UKF_vy,UKF_vz,UKF_wx,UKF_wy,UKF_wz,rgb,depth,yaw,theta,lidar_x,lidar_y,gt_x,gt_y,gt_yaw
2,1768896443.2850137,0.15861384891914554,-0.15861384891914554,0.0,0.0,0.0,0.1476204019129466,0.9890440925151215,0.07841873057314785,-0.07841873057051885,0.0,0.0,0.0,0.14650254928184325,0.8033780455589294,0.572,0.3641692101955414,0.3249475359916687,0.0,0.0,0.6978271185324165,0.2452853735200723,0.33512317003094827
2,1768896443.9716606,0.4061413247195256,0.07910734015286269,0.0,0.0,0.0,0.18709395628493572,0.9823420236972714,0.14862961719273837,0.06687193463498917,0.0,0.0,0.0,0.12271495046864547,0.8015354871749878,0.573,0.36225977540016174,0.3232708275318146,0.0,0.0,0.6978187857467111,0.24529271908522376,0.3350890555114723
2,1768896445.1874661,0.638656279222064,0.012128553629027206,0.0,0.0,0.0,0.19898904743811413,0.9800017137738444,0.1605860879677422,-0.00809644892669975,0.0,0.0,0.0,0.06647878312231803,0.8013336658477783,0.575,0.3606235086917877,0.32331687211990356,0.0,0.0,0.6978369438608965,0.24526720513070221,0.3350388496126118
2,1768896445.8902764,0.7590136785903332,0.2822143134475604,0.0,0.0,0.0,0.19685977522711187,0.9804316543734861,0.17349256564722582,0.12264624157611637,0.0,0.0,0.0,0.044751925780694174,0.802700400352478,0.574,0.3594729006290436,0.32501620054244995,0.0,0.0,0.6978112190336674,0.24529527574098497,0.33506750088986104
2,1768896447.5170236,0.7649277186755168,0.2393684119464835,0.0,0.0,0.0,0.19730060878899724,0.9803430367843141,0.08816021290823176,0.05017598146608068,0.0,0.0,0.0,0.02466652089343034,0.8024073839187622,0.574,0.35761314630508423,0.32504692673683167,0.0,0.0,0.6978151411968729,0.24520104429933576,0.33503318223398354
2,1768896448.2072828,0.6982385140764784,0.24305742074809794,0.0,0.0,0.0,0.19366832141971074,0.9810670625795526,0.05331494498086409,0.043397764208506266,0.0,0.0,0.0,0.018676517717701055,0.8032232522964478,0.573,0.36390072107315063,0.32481884956359863,0.0,0.0,0.6978275583453599,0.24527038291443293,0.3350708648969551
2,1768896450.0993855,0.6949773885560508,0.23431143778831623,0.0,0.0,0.0,0.1948259297426636,0.980837834251874,0.031999246946738266,0.023949511107299412,0.0,0.0,0.0,0.012628545353684135,0.8015502095222473,0.576,0.3632884621620178,0.3231487274169922,0.0,0.0,0.6978100688882758,0.24529987962361988,0.33514269879770464
2,1768896451.0287924,0.695087596786771,0.23924603502939534,0.0,0.0,0.0,0.19167417265932923,0.9814586142753864,0.025781240963690746,0.02034905154135042,0.0,0.0,0.0,0.009458368083607047,0.8027204871177673,0.58,0.3612562417984009,0.3249753713607788,0.0,0.0,0.6978417411627422,0.24525019704174278,0.33503993194411097
2,1768896452.0017912,0.7062319448780756,0.24467616957182392,0.0,0.0,0.0,0.1893291255839547,0.9819136836838639,0.022026287263131016,0.016121618756884185,0.0,0.0,0.0,0.0069703950104568965,0.8025352358818054,0.57,0.35642316937446594,0.3252054750919342,0.0,0.0,0.6978519040750353,0.24519815578279003,0.3349738791653811
2,1768896452.996525,0.7134524213714097,0.24707943628495674,0.0,0.0,0.0,0.18757869855759135,0.9822495771683692,0.018544857611863422,0.012436774570803272,0.0,0.0,0.0,0.0053245858243855726,0.802663266658783,0.574,0.35754120349884033,0.32507529854774475,0.0,0.0,0.6978144135787578,0.24526877172625772,0.33501034752057424
2,1768896453.594602,0.7187114098698504,0.2478104246711321,0.0,0.0,0.0,0.18605046282025317,0.9825401901624022,0.017037470503374393,0.01042638435410792,0.0,0.0,0.0,0.00433993621558559,0.8027961850166321,0.575,0.3592113256454468,0.3249472677707672,0.0,0.0,0.6978202740065518,0.2452597201643052,0.33510281247878
1,1768896453.9192839,0.7269442331332661,0.26012418028803247,0.0,0.0,0.0,0.1867420361553048,0.982408984045123,0.017662552338862655,0.013379637324248685,0.0,0.0,0.0,0.0043399362155575865,0.0,0.0,0.0,0.0,0.7299739122390747,0.28675857186317444,0.697802653307906,0.24529101281816768,0.3351375207472165
2,1768896453.962421,0.7283130494228937,0.2557987020314409,0.0,0.0,0.0,0.18465471529589952,0.982803457522912,0.01793452838750081,0.01171674617819043,0.0,0.0,0.0,0.0036486407739477716,0.8010172843933105,0.577,0.3583014905452728,0.3233203589916229,0.0,0.0,0.6978380674669507,0.2452443699803355,0.3350245629951242
2,1768896454.3420548,0.734300266447626,0.25633314254746153,0.0,0.0,0.0,0.18370570320907528,0.982981289042909,0.017661920959926462,0.01001950405114207,0.0,0.0,0.0,0.0030994507966212786,0.8025517463684082,0.572,0.3579134941101074,0.32513272762298584,0.0,0.0,0.6978144346785529,0.24528799995986716,0.3351404688661812
2,1768896454.7681575,0.7383748452671596,0.25614620683781497,0.0,0.0,0.0,0.18319353396242669,0.9830768683650111,0.016533547616276054,0.008089151047800364,0.0,0.0,0.0,0.002705799411139736,0.8030566573143005,0.573,0.3597479462623596,0.3251432478427887,0.0,0.0,0.6978392586299038,0.24525421711189044,0.3349908781818018
2,1768896455.1973877,0.7398306385685385,0.2545268588425426,0.0,0.0,0.0,0.1827207475861938,0.9831648531154592,0.013881350816074202,0.0055324683571004165,0.0,0.0,0.0,0.0022959228776704846,0.8010935187339783,0.575,0.3585876226425171,0.3233933746814728,0.0,0.0,0.69782929628653,0.2452966196857541,0.3351086254579398
1,1768896455.3943243,0.7430718487676435,0.2641303444760268,0.0,0.0,0.0,0.18295143163904048,0.9831219525883986,0.01391688488760415,0.009860544921055498,0.0,0.0,0.0,0.0022959228774934366,0.0,0.0,0.0,0.0,0.7415152788162231,0.2962743639945984,0.6977902872151374,0.2453069740466749,0.3351661437163156
2,1768896455.703477,0.7422503750851603,0.2600140042366237,0.0,0.0,0.0,0.1826897720367177,0.9831706094026469,0.012130001191611907,0.006626134030507562,0.0,0.0,0.0,0.0020878334887186323,0.8014019727706909,0.579,0.3630499243736267,0.32311874628067017,0.0,0.0,0.6977909660346744,0.24529901324254877,0.3351064559775968
2,1768896456.0010087,0.7417475414648651,0.25736803590510804,0.0,0.0,0.0,0.18211998401103877,0.9832763148900816,0.00986756305794122,0.004040017019053566,0.0,0.0,0.0,0.0016919483551691727,0.8024360537528992,0.573,0.3579106032848358,0.3250560462474823,0.0,0.0,0.6978120527140714,0.2452922156443208,0.3351056188728716
2,1768896456.2612867,0.7406815164396077,0.25500810123023127,0.0,0.0,0.0,0.18145727531719347,0.9833988291809485,0.008093124141191687,0.002236619901399813,0.0,0.0,0.0,0.0013002573209393504,0.8029316067695618,0.575,0.3563303053379059,0.3252987563610077,0.0,0.0,0.6977923358676859,0.245319074099273,0.33507114584306974
2,1768896456.6662154,0.7386893379317234,0.2524789465227171,0.0,0.0,0.0,0.18107535527845636,0.9834692245875215,0.005442721152056414,0.000426449381695041,0.0,0.0,0.0,0.0009940006991252918,0.8024805188179016,0.577,0.3579134941101074,0.32511138916015625,0.0,0.0,0.6978268575021374,0.24526956581225812,0.3350870529998368
1,1768896456.8253202,0.7397968960924488,0.2609187286025521,0.0,0.0,0.0,0.18116241534548835,0.983453191192234,0.005384512744243161,0.005003450004483686,0.0,0.0,0.0,0.000994000699291099,0.0,0.0,0.0,0.0,0.737326979637146,0.293398916721344,0.6977945031004271,0.24533476301240686,0.33515395005740206
2,1768896457.0950596,0.738070397742266,0.2572557000308432,0.0,0.0,0.0,0.18085795030674764,0.9835092281269363,0.003808621437934113,0.002275502666956426,0.0,0.0,0.0,0.0007759414053254602,0.8030240535736084,0.575,0.3596789538860321,0.3250795006752014,0.0,0.0,0.6978305611669997,0.24526075669513314,0.33506903088590206
1,1768896457.709693,0.7519439891109254,0.2650921864494619,0.0,0.0,0.0,0.1810997119064623,0.9834647397580639,0.009338098318807657,0.005460866003556768,0.0,0.0,0.0,0.000775941405328102,0.0,0.0,0.0,0.0,0.7745295166969299,0.27902939915657043,0.6978144611863448,0.24529552986235503,0.3350479421972839
2,1768896457.9768898,0.7441206300166331,0.2583760108936385,0.0,0.0,0.0,0.18064189263675237,0.9835489345348365,0.004791697801928284,0.0016321810099743455,0.0,0.0,0.0,0.0005030701980656595,0.802682638168335,0.573,0.35941100120544434,0.3249529004096985,0.0,0.0,0.6978202924291488,0.24530827378293107,0.33518058315871324
1,1768896458.7799861,0.7455441972156568,0.27245091195279286,0.0,0.0,0.0,0.1808512388762491,0.9835104622712083,0.003571225034751516,0.007307789141213188,0.0,0.0,0.0,0.0005030701981272292,0.0,0.0,0.0,0.0,0.7400622963905334,0.2961089313030243,0.6977549075360234,0.24532412498900058,0.3353238158473716
2,1768896458.9115057,0.7370889937588048,0.2615533156613816,0.0,0.0,0.0,0.18028532558597743,0.9836143560249403,-7.25210300798044e-05,0.0022158917302054944,0.0,0.0,0.0,0.00021252317301932548,0.802829921245575,0.577,0.35919809341430664,0.3250899016857147,0.0,0.0,0.6978103926805508,0.24530650463989456,0.3351079308599404
2,1768896459.4119205,0.7306646793276584,0.25492734403466627,0.0,0.0,0.0,0.17970604265179346,0.9837203557080801,-0.002701965384139986,-0.001107955394580445,0.0,0.0,0.0,-8.608687992191553e-05,0.8024865984916687,0.573,0.35755062103271484,0.3250017464160919,0.0,0.0,0.6978053518109175,0.24526764474563334,0.3350837593250728
2,1768896459.8382907,0.7253713273211783,0.24988317795912054,0.0,0.0,0.0,0.17899177682553194,0.9838505698676192,-0.004352474723302007,-0.0030862561044579058,0.0,0.0,0.0,-0.0004117074351045223,0.8022787570953369,0.576,0.3554104268550873,0.32510966062545776,0.0,0.0,0.6978095714866759,0.24524952820916768,0.33514646316323
1,1768896459.903646,0.7304284041048442,0.26019350805050767,0.0,0.0,0.0,0.17897849692172615,0.983852985785803,-0.002230950173973211,0.0015319590141338315,0.0,0.0,0.0,-0.0004117074351691226,0.0,0.0,0.0,0.0,0.7424112558364868,0.2999350130558014,0.697814802219278,0.24526082799034932,0.33505290394046333
2,1768896460.2622619,0.7290312855874627,0.25576153097676646,0.0,0.0,0.0,0.1787622336325708,0.9838923029614035,-0.0024322976673114035,-0.0008765367120676386,0.0,0.0,0.0,-0.0004785781527479442,0.8025926351547241,0.576,0.3584696054458618,0.3251534104347229,0.0,0.0,0.6978115355781265,0.24528061640678878,0.33509558755943436
2,1768896460.6841226,0.7270004893703145,0.25172863008967905,0.0,0.0,0.0,0.17831438823208598,0.9839735661842837,-0.0028617360614872954,-0.0027236418240115788,0.0,0.0,0.0,-0.0006439357675486826,0.8021745085716248,0.576,0.35597512125968933,0.3251156806945801,0.0,0.0,0.6978188010928619,0.24526502530982563,0.3350530939085205
2,1768896461.0762768,0.7250841052786018,0.24838535576736173,0.0,0.0,0.0,0.1782381200676055,0.9839873843473634,-0.003191951599451888,-0.0038658399515896216,0.0,0.0,0.0,-0.0006205783206017585,0.8026943802833557,0.575,0.35876980423927307,0.3250618278980255,0.0,0.0,0.6978014456363084,0.24518272528961338,0.33505855248741523
1,1768896461.3974032,0.7304418582527821,0.258721877024054,0.0,0.0,0.0,0.1781437654549004,0.9840044709398171,-0.00041505006983388795,0.0019240946423357361,0.0,0.0,0.0,-0.0006205783205991345,0.0,0.0,0.0,0.0,0.7433361411094666,0.29603052139282227,0.69781001213708,0.24529605594790638,0.3350945998321042
2,1768896461.4882674,0.7307159928190218,0.2552492591320127,0.0,0.0,0.0,0.1785934039640535,0.9839229624622714,-0.00020720179367150602,4.86927499361231e-05,0.0,0.0,0.0,-0.00039204031738296243,0.8034087419509888,0.574,0.36288461089134216,0.32517296075820923,0.0,0.0,0.6977760310228023,0.2453806035504631,0.33527394854816583
2,1768896461.8952646,0.729895154298336,0.2521821272288133,0.0,0.0,0.0,0.17855032359916434,0.9839307810728526,-0.000522142232430923,-0.0016051758689412257,0.0,0.0,0.0,-0.00037705149625793784,0.8027992844581604,0.573,0.3592767119407654,0.325092077255249,0.0,0.0,0.6978026708401313,0.24521771222150113,0.33506602181299006
2,1768896462.7002256,0.72061037128701,0.24576148685386245,0.0,0.0,0.0,0.17833931491297136,0.9839690486780426,-0.004491682959345705,-0.003993339533548664,0.0,0.0,0.0,-0.0004073277214450431,0.8028256893157959,0.578,0.35817569494247437,0.32515791058540344,0.0,0.0,0.6978517321805182,0.24518418840000622,0.3349277623270355
1,1768896462.7584445,0.7235305519232902,0.25330517176527945,0.0,0.0,0.0,0.17832510419579597,0.983971624191246,-0.00313754385608154,-0.0002810899050954066,0.0,0.0,0.0,-0.0004073277214357418,0.0,0.0,0.0,0.0,0.729331910610199,0.2790830135345459,0.6977858298881798,0.2452391419773624,0.335192179671224
2,1768896463.052655,0.7235417811806814,0.24978842674965845,0.0,0.0,0.0,0.17893907246448681,0.9838601569052123,-0.002738644247407329,-0.001973629637585135,0.0,0.0,0.0,-8.639808715626577e-05,0.8015830516815186,0.571,0.3647567927837372,0.3231039345264435,0.0,0.0,0.697765767377011,0.24529955995194852,0.3352234410791978
2,1768896463.396452,0.7233368648576819,0.24709606270885484,0.0,0.0,0.0,0.17908139916452323,0.9838342606726382,-0.0023513456552532778,-0.003000938954107486,0.0,0.0,0.0,-9.551814145982134e-06,0.801347017288208,0.575,0.36135199666023254,0.3232676088809967,0.0,0.0,0.6977862118414262,0.24529984579779318,0.335098004752226
2,1768896463.812367,0.7229265469745088,0.24534861651827544,0.0,0.0,0.0,0.17894161975781211,0.9838596936141101,-0.0020945702452814666,-0.0032992460535984126,0.0,0.0,0.0,-7.768865748549383e-05,0.8027744889259338,0.576,0.35870009660720825,0.3251616656780243,0.0,0.0,0.6978187372249116,0.24532151960070692,0.3357733744701406
1,1768896464.1586738,0.7412189745111879,0.2567791070376709,0.0,0.0,0.0,0.17892732950677295,0.9838622925773579,0.00670653102286848,0.0029121180806662367,0.0,0.0,0.0,-7.768865745726556e-05,0.0,0.0,0.0,0.0,0.7848090529441833,0.29235392808914185,0.6979289985607946,0.24535948151053721,0.335934669602479
