2.027961, 1.707373, 1.200000
1.988233, 1.696608, 1.200000
1.895842, 1.671974, 1.200000
1.767155, 1.637459, 1.200000
1.630127, 1.597665, 1.200000
1.503767, 1.513229, 1.200000
1.389780, 1.397157, 1.200000
1.284546, 1.298871, 1.200000
1.178589, 1.214516, 1.200000
1.061520, 1.121242, 1.200000
0.959280, 1.034818, 1.200000
0.850039, 0.944554, 1.200000
0.705884, 0.886050, 1.200000
0.543837, 0.857025, 1.200000
0.400263, 0.854863, 1.200000
0.259546, 0.872917, 1.200000
0.107302, 0.918401, 1.200000
-0.052506, 0.996732, 1.200000
-0.215342, 1.102455, 1.200000
-0.402290, 1.190262, 1.200000
-0.586025, 1.279192, 1.200000
-0.784507, 1.373236, 1.200000
-0.978613, 1.420328, 1.200000
-1.229997, 1.395192, 1.200000
-1.433671, 1.315839, 1.200000
-1.641152, 1.218906, 1.200000
-1.863236, 1.132341, 1.200000
-2.072049, 1.021743, 1.200000
-2.252356, 0.822885, 1.200000
-2.359976, 0.574576, 1.200000
-2.387416, 0.304345, 1.200000
-2.358317, 0.049302, 1.200000
-2.347509, -0.219444, 1.200000
-2.333210, -0.464572, 1.200000
-2.252306, -0.711339, 1.200000
-2.085581, -0.928169, 1.200000
-1.894002, -1.062891, 1.200000
-1.636179, -1.155279, 1.200000
-1.377099, -1.167200, 1.200000
-1.126561, -1.099182, 1.200000
-0.907508, -0.962433, 1.200000
-0.709670, -0.798609, 1.200000
-0.481662, -0.657328, 1.200000
-0.208481, -0.596041, 1.200000
0.044644, -0.555595, 1.200000
0.286227, -0.502717, 1.200000
0.556619, -0.452085, 1.200000
0.840757, -0.478098, 1.200000
1.099934, -0.488556, 1.200000
1.390959, -0.499485, 1.200000
1.628632, -0.506480, 1.200000
1.879985, -0.511830, 1.200000
2.146320, -0.517040, 1.200000
2.412467, -0.521192, 1.200000
2.677163, -0.521606, 1.200000
2.971969, -0.519986, 1.200000
3.250449, -0.513554, 1.200000
3.518094, -0.498252, 1.200000
4.039180, -0.168314, 1.200000
4.161773, 0.063768, 1.200000
4.217038, 0.332897, 1.200000
4.272016, 0.586522, 1.200000
4.282220, 0.874271, 1.200000
4.208994, 1.111303, 1.200000
4.045603, 1.346734, 1.200000
3.804026, 1.513060, 1.200000
3.576889, 1.595784, 1.200000
3.286880, 1.609147, 1.200000
3.056305, 1.626904, 1.200000
2.780275, 1.647648, 1.200000
2.500941, 1.660466, 1.200000
2.219042, 1.665542, 1.200000
1.944702, 1.620091, 1.200000
1.796304, 1.594805, 1.200000
1.725173, 1.582358, 1.200000
