flag,timestamp,UKF_px,UKF_py,UKF_pz,UKF_qx,UKF_qy,UKF_qz,UKF_qw,UKF_vx,UKF_vy,UKF_vz,UKF_wx,UKF_wy,UKF_wz,rgb,depth,yaw,theta,lidar_x,lidar_y,gt_x,gt_y,gt_yaw
2,1768897594.1246927,0.000323793833999636,-0.00032379383394279254,0.0,0.0,0.0,0.03796408381123206,0.9992791043248996,0.00015206418815392006,-0.00015206418815392006,0.0,0.0,0.0,0.035666925162089566,0.8098596334457397,0.537,0.09630861133337021,0.3604053854942322,0.0,0.0,0.0,0.0,0.0
2,1768897594.4186401,-0.08007546007378608,-0.11509873766991063,0.0,0.0,0.0,0.046353995362269675,0.9989250758259874,-0.03468899736202857,-0.06289332552644566,0.0,0.0,0.0,0.03969740939237914,0.8095144629478455,0.536,0.09685735404491425,0.3606839179992676,0.0,0.0,0.6766136806346756,0.3068199525656232,-0.3585458693078032
2,1768897596.0196064,0.18025398168595919,-0.14359628389436116,0.0,0.0,0.0,0.05522422405791837,0.9984739781672834,0.09596581568749474,-0.030891801182589107,0.0,0.0,0.0,0.018119152015418374,0.8094229102134705,0.536,0.10230276733636856,0.3613717555999756,0.0,0.0,0.6766382765854841,0.3068136693765573,-0.35858324981764134
2,1768897597.1342583,0.26818343908542097,-0.2703139488799522,0.0,0.0,0.0,0.059462111714580754,0.9982305631818947,0.08496760625642456,-0.06158597661497178,0.0,0.0,0.0,0.01372199630031426,0.8100458383560181,0.537,0.11346568167209625,0.36219456791877747,0.0,0.0,0.6766376578060154,0.30678010511221354,-0.35855159870531755
2,1768897598.8798885,0.9689899744416378,-0.08297098037283612,0.0,0.0,0.0,0.056449595832559485,0.9984054502707508,0.26591004184575534,0.02152245848616932,0.0,0.0,0.0,0.0066760397594728465,0.8095108270645142,0.538,0.09757964313030243,0.3607846200466156,0.0,0.0,0.6766225269011961,0.306818082807907,-0.35850080016621166
2,1768897599.6673303,0.9567596787084768,0.24788941279464,0.0,0.0,0.0,0.05413718330007107,0.9985335073918824,0.1951683617212469,0.10154764263445067,0.0,0.0,0.0,0.004385639504595492,0.8092225790023804,0.536,0.09767375886440277,0.36095547676086426,0.0,0.0,0.6766437516046606,0.3067933075710495,-0.35855489261429413
2,1768897600.6997907,0.9232936342833864,0.3158238814293266,0.0,0.0,0.0,0.05459151538992074,0.9985087713422612,0.1290499703912184,0.08953808809274322,0.0,0.0,0.0,0.003644616062563947,0.8099176287651062,0.537,0.10436759889125824,0.361441045999527,0.0,0.0,0.6768683349956461,0.3065667873364243,-0.3508091399730204
2,1768897601.665161,0.8746049276396618,0.3293781665487352,0.0,0.0,0.0,0.05338289244216393,0.998574116825841,0.08390726517487532,0.0710827594841111,0.0,0.0,0.0,0.002582938558208586,0.8109767436981201,0.537,0.09748515486717224,0.359714537858963,0.0,0.0,0.6831150585920469,0.30359118410427244,-0.2644655087700235
2,1768897602.338891,0.8326072134297547,0.327022464463696,0.0,0.0,0.0,0.05976937714762016,0.9982122126859526,0.05615467126146675,0.05683682842043529,0.0,0.0,0.0,0.004494232436530253,0.8131638169288635,0.555,0.14146317541599274,0.36302313208580017,0.0,0.0,0.685575539021924,0.3027803613287775,-0.23715824023160506
2,1768897602.8019643,0.8030050414769397,0.31942717783327434,0.0,0.0,0.0,0.0637382909053975,0.9979666478757989,0.04037149583652748,0.04739202303366922,0.0,0.0,0.0,0.005518862209000719,0.8124032020568848,0.552,0.1425977349281311,0.3636583387851715,0.0,0.0,0.6855506796416624,0.30280052702593374,-0.23712071486797048
1,1768897602.9552057,0.7731332510190401,0.32374771769286337,0.0,0.0,0.0,0.06415417202366057,0.9979399993045467,0.02970885426643089,0.04637740352581279,0.0,0.0,0.0,0.005518862207691283,0.0,0.0,0.0,0.0,0.7285675406455994,0.3185039162635803,0.6855631795035997,0.30277679141692904,-0.2371980959702007
2,1768897603.2456203,0.7694512685799391,0.32014801346338306,0.0,0.0,0.0,0.06649960343330098,0.9977864514730663,0.02533084670889599,0.04065708034221923,0.0,0.0,0.0,0.0060694731571608075,0.8123217225074768,0.554,0.1424734890460968,0.36379849910736084,0.0,0.0,0.6855452876195705,0.3027795728330511,-0.2371429953454393
2,1768897603.676955,0.7673653401941213,0.31994215547337396,0.0,0.0,0.0,0.06902837406097806,0.9976146969519333,0.019957575565921294,0.033633374555258826,0.0,0.0,0.0,0.006534842962250267,0.8122376799583435,0.554,0.1468275636434555,0.3644424378871918,0.0,0.0,0.685558977965556,0.3027599728369237,-0.23719967841477066
2,1768897604.1015394,0.7626682687743085,0.31637971885376415,0.0,0.0,0.0,0.07118368302609539,0.9974632240192319,0.014357809529838322,0.02619385394250604,0.0,0.0,0.0,0.006879017940276953,0.8122962117195129,0.555,0.14928454160690308,0.36458078026771545,0.0,0.0,0.6855551552038706,0.3027664763043282,-0.23716259799578118
2,1768897604.528473,0.7559428572860066,0.31127468476018977,0.0,0.0,0.0,0.0729448419799032,0.997335976503669,0.008279425825630286,0.018162454176608087,0.0,0.0,0.0,0.006953481480336741,0.8120531439781189,0.552,0.14747671782970428,0.36456185579299927,0.0,0.0,0.6855643672157985,0.302752889324547,-0.23718877665356403
1,1768897604.6626384,0.7459564980417369,0.31423955595660846,0.0,0.0,0.0,0.07344364398745735,0.9972993688746843,0.0030133209473030076,0.018468801821727485,0.0,0.0,0.0,0.006953481481662269,0.0,0.0,0.0,0.0,0.7285675406455994,0.3185039162635803,0.6855326644620143,0.30279185125284425,-0.23708502482349533
2,1768897605.0191405,0.7426143858692441,0.30846163688154415,0.0,0.0,0.0,0.07439952082396467,0.9972285150862688,0.0010038170760940084,0.012802838011851553,0.0,0.0,0.0,0.006916631998663959,0.8123255968093872,0.552,0.1482333540916443,0.36434510350227356,0.0,0.0,0.6855463976868856,0.30280000049980327,-0.23719014350630585
2,1768897605.5055323,0.737311401580384,0.3023557739080622,0.0,0.0,0.0,0.07541217299160037,0.9971524478055925,-0.0018128258927876837,0.006597645183929488,0.0,0.0,0.0,0.006632819543876837,0.8124359846115112,0.555,0.1458095908164978,0.36401039361953735,0.0,0.0,0.6855890104763442,0.3027283399588456,-0.23726259087380752
2,1768897606.196217,0.7256300091591404,0.2924572484107887,0.0,0.0,0.0,0.0768559424235532,0.9970422077897141,-0.006452174586986624,-9.385796781217169e-05,0.0,0.0,0.0,0.006229505900992939,0.8123876452445984,0.548,0.14749303460121155,0.3643200099468231,0.0,0.0,0.685605566726063,0.3027244432013664,-0.2373128329224315
1,1768897606.2879622,0.7267100232656527,0.2973398030368855,0.0,0.0,0.0,0.07723482380128026,0.9970129297017092,-0.0056612794899950376,0.002142589800757052,0.0,0.0,0.0,0.0062295059013286035,0.0,0.0,0.0,0.0,0.7284169793128967,0.312037855386734,0.6855499834380527,0.3028065761162352,-0.23714065081519828
2,1768897606.4130025,0.7264290529831342,0.2932369494434441,0.0,0.0,0.0,0.07660898129876646,0.9970612137599001,-0.005474759070997546,0.00013193714371738212,0.0,0.0,0.0,0.005796716086975622,0.812338650226593,0.556,0.14562322199344635,0.36415061354637146,0.0,0.0,0.6855743860592769,0.30274456410669104,-0.23715987776702183
