time,x1,y1,x2,y2
1751306408.9896553,3.6810851097106934,-0.23884634673595428,2.503139019012451,-0.8059495687484741
1751306409.00593,3.68064284324646,-0.23914068937301636,2.5031654834747314,-0.8059616088867188
1751306409.0259771,3.680633068084717,-0.23914924263954163,2.5031559467315674,-0.8059436678886414
1751306409.0359886,3.6805295944213867,-0.2391444891691208,2.5031490325927734,-0.805978000164032
1751306409.0559418,3.680635929107666,-0.23912695050239563,2.5031535625457764,-0.8059486746788025
1751306409.0761588,3.6806514263153076,-0.23911163210868835,2.5031378269195557,-0.8059684634208679
1751306409.0859542,3.681161403656006,-0.2389226108789444,2.503152847290039,-0.8059625029563904
1751306409.0959852,3.681230306625366,-0.23890207707881927,2.503157615661621,-0.8059611916542053
1751306409.1159809,3.680649518966675,-0.23910954594612122,2.5031356811523438,-0.8059513568878174
1751306409.1359293,3.681209087371826,-0.23882198333740234,2.5031368732452393,-0.8059884905815125
1751306409.1459992,3.6806774139404297,-0.2391057312488556,2.5031611919403076,-0.8059425354003906
1751306409.166002,3.680694341659546,-0.239087775349617,2.5031440258026123,-0.8059539198875427
1751306409.1759293,3.681133985519409,-0.23897525668144226,2.5031509399414062,-0.805963933467865
1751306409.1959565,3.68125319480896,-0.23879826068878174,2.503143787384033,-0.805961549282074
1751306409.2062125,3.6812334060668945,-0.2388281375169754,2.5031747817993164,-0.8059560060501099
1751306409.2259352,3.6812021732330322,-0.2389107644557953,2.5031325817108154,-0.8059642910957336
1751306409.2459002,3.680542230606079,-0.2391638308763504,2.503145933151245,-0.8059553503990173
1751306409.2560947,3.6811630725860596,-0.2389271855354309,2.503157138824463,-0.8059619665145874
1751306409.2759454,3.681248188018799,-0.2389008104801178,2.503152847290039,-0.80596524477005
1751306409.285958,3.6812233924865723,-0.23889029026031494,2.503145933151245,-0.8059660792350769
1751306409.305944,3.680638551712036,-0.23914869129657745,2.503153085708618,-0.8059628009796143
1751306409.3159292,3.680666923522949,-0.2391304224729538,2.50313663482666,-0.8059719204902649
1751306409.335932,3.6806540489196777,-0.23913173377513885,2.5031275749206543,-0.8059706687927246
1751306409.3559065,3.6806488037109375,-0.23915478587150574,2.503141403198242,-0.8059549927711487
1751306409.365927,3.6806979179382324,-0.23914262652397156,2.5031638145446777,-0.8059802651405334
1751306409.3859305,3.68070125579834,-0.23911400139331818,2.5031614303588867,-0.8059682846069336
1751306409.3959703,3.6806480884552,-0.2391669601202011,2.503134250640869,-0.8059574961662292
1751306409.4159214,3.680642604827881,-0.2391381859779358,2.5031514167785645,-0.8059689402580261
1751306409.425927,3.680637836456299,-0.23915231227874756,2.5031442642211914,-0.8059661388397217
1751306409.4459205,3.680680990219116,-0.23912781476974487,2.503145933151245,-0.80596524477005
1751306409.4559271,3.6811301708221436,-0.23900392651557922,2.5031545162200928,-0.8059642910957336
1751306409.4759245,3.6812374591827393,-0.238850399851799,2.503141403198242,-0.8059607148170471
1751306409.4959111,3.680657386779785,-0.23912954330444336,2.50315260887146,-0.8059669733047485
1751306409.505923,3.680659294128418,-0.23915913701057434,2.5031402111053467,-0.8059908151626587
1751306409.5258985,3.6811232566833496,-0.23899711668491364,2.5031285285949707,-0.8059602975845337
1751306409.5359266,3.6812267303466797,-0.23891782760620117,2.5031521320343018,-0.8059802055358887
1751306409.5559032,3.6806533336639404,-0.23915722966194153,2.5031609535217285,-0.8059694170951843
1751306409.575905,3.681199312210083,-0.23885789513587952,2.5031416416168213,-0.8059771060943604
1751306409.585923,3.681084394454956,-0.23885032534599304,2.5031204223632812,-0.8059868812561035
1751306409.5959501,3.6810872554779053,-0.2388835847377777,2.5031497478485107,-0.8059923052787781
1751306409.6159346,3.6806483268737793,-0.23914717137813568,2.5031495094299316,-0.8059861063957214
1751306409.6359363,3.680643320083618,-0.23915046453475952,2.5031394958496094,-0.8059819340705872
1751306409.6459506,3.6811959743499756,-0.2389533817768097,2.5031678676605225,-0.805980920791626
1751306409.665941,3.681222677230835,-0.23888522386550903,2.5031497478485107,-0.8059964776039124
1751306409.6861107,3.681185722351074,-0.2389037013053894,2.5031256675720215,-0.805989682674408
1751306409.6959298,3.681192636489868,-0.23892360925674438,2.5031447410583496,-0.8059857487678528
1751306409.7059703,3.680929660797119,-0.23938007652759552,2.5031542778015137,-0.805982768535614
1751306409.7259157,3.6809864044189453,-0.23931273818016052,2.5031421184539795,-0.8059850335121155
1751306409.7458987,3.6806223392486572,-0.2391456663608551,2.5031418800354004,-0.8059861660003662
1751306409.755934,3.681225299835205,-0.2388228178024292,2.5031323432922363,-0.8059884309768677
1751306409.77594,3.681244373321533,-0.23892727494239807,2.5031516551971436,-0.8060062527656555
1751306409.7859373,3.6806678771972656,-0.23912423849105835,2.503157615661621,-0.8059996366500854
1751306409.8059306,3.6806600093841553,-0.23917227983474731,2.5031630992889404,-0.8059887290000916
1751306409.8159528,3.681239604949951,-0.23883943259716034,2.5031442642211914,-0.8059844374656677
1751306409.8358955,3.681199550628662,-0.23889227211475372,2.503138780593872,-0.8059952855110168
1751306409.8559194,3.681201696395874,-0.2389184683561325,2.503168821334839,-0.8059893846511841
1751306409.865932,3.6806118488311768,-0.2391229271888733,2.5031239986419678,-0.8059995770454407
1751306409.885935,3.6806671619415283,-0.23911869525909424,2.503155469894409,-0.8059767484664917
1751306409.8959184,3.681215524673462,-0.23891882598400116,2.5031585693359375,-0.8060011863708496
1751306409.9159143,3.680647373199463,-0.23912964761257172,2.5031464099884033,-0.8059834837913513
1751306409.925962,3.6806344985961914,-0.2391502559185028,2.5031564235687256,-0.8059919476509094
1751306409.945929,3.680635452270508,-0.23913300037384033,2.5031418800354004,-0.8059881329536438
1751306409.9659407,3.6806845664978027,-0.2391045093536377,2.5031487941741943,-0.8059722185134888
1751306409.9759152,3.6811225414276123,-0.23902752995491028,2.5031652450561523,-0.8059773445129395
1751306409.995932,3.681074857711792,-0.2388499230146408,2.5031235218048096,-0.8059867024421692
1751306410.0059495,3.6810977458953857,-0.23883123695850372,2.5031468868255615,-0.8059672117233276
1751306410.0258965,3.6806511878967285,-0.23913151025772095,2.5031545162200928,-0.8059678673744202
1751306410.0359304,3.6812586784362793,-0.23886603116989136,2.503170967102051,-0.805989682674408
1751306410.0559113,3.68123459815979,-0.2388341873884201,2.5031585693359375,-0.8059743046760559
1751306410.0659199,3.680629014968872,-0.23910044133663177,2.503140449523926,-0.8059612512588501
1751306410.0859177,3.680666446685791,-0.23915995657444,2.503159523010254,-0.8059661388397217
1751306410.1058948,3.680670738220215,-0.23913149535655975,2.5031466484069824,-0.8059611916542053
1751306410.115931,3.6806552410125732,-0.23911598324775696,2.5031559467315674,-0.8059665560722351
1751306410.135919,3.6806588172912598,-0.23913870751857758,2.503150463104248,-0.8059679269790649
1751306410.1459153,3.6811439990997314,-0.23886223137378693,2.5031726360321045,-0.8059653043746948
1751306410.165903,3.6812589168548584,-0.23887963593006134,2.503145694732666,-0.8059604167938232
1751306410.1759315,3.6806254386901855,-0.23912979662418365,2.5031440258026123,-0.8059670925140381
1751306410.1959257,3.6806588172912598,-0.23913036286830902,2.503148078918457,-0.8059579730033875
1751306410.2159193,3.681229591369629,-0.2389000952243805,2.503162384033203,-0.805974006652832
1751306410.2259157,3.681211471557617,-0.23892676830291748,2.503160238265991,-0.8059715032577515
1751306410.245911,3.680644989013672,-0.2391308695077896,2.5031445026397705,-0.8059632778167725
1751306410.2559223,3.680647850036621,-0.2391374707221985,2.50313663482666,-0.8059757351875305
1751306410.275918,3.6806156635284424,-0.23918285965919495,2.503138780593872,-0.805973470211029
1751306410.285961,3.680670976638794,-0.2391192615032196,2.503174304962158,-0.8059578537940979
1751306410.3059397,3.6811513900756836,-0.23897458612918854,2.503148078918457,-0.8059764504432678
1751306410.3259225,3.6806368827819824,-0.2391357719898224,2.503140687942505,-0.8059512972831726
1751306410.3359797,3.6806626319885254,-0.2391355037689209,2.50317120552063,-0.8059725761413574
1751306410.3559012,3.6806375980377197,-0.2391369491815567,2.50313401222229,-0.8059704303741455
1751306410.3659265,3.6806297302246094,-0.23916864395141602,2.503131866455078,-0.8059746026992798
1751306410.3859217,3.6805832386016846,-0.23915742337703705,2.5031821727752686,-0.8059681057929993
1751306410.3959663,3.6812267303466797,-0.23890435695648193,2.503143548965454,-0.8059755563735962
1751306410.4159148,3.681187152862549,-0.23892556130886078,2.5031416416168213,-0.8059733510017395
1751306410.4259348,3.6806399822235107,-0.23913268744945526,2.5031545162200928,-0.8059561848640442
1751306410.4459195,3.680642604827881,-0.2391873598098755,2.5031490325927734,-0.8059847354888916
1751306410.4659016,3.68117618560791,-0.23895221948623657,2.5031557083129883,-0.8059723973274231
1751306410.4759364,3.6810343265533447,-0.23889970779418945,2.5031464099884033,-0.8059634566307068
1751306410.495931,3.681077480316162,-0.23889398574829102,2.5031447410583496,-0.8059857487678528
1751306410.5059488,3.6812641620635986,-0.23890581727027893,2.503159284591675,-0.80597323179245
1751306410.525917,3.6806490421295166,-0.2391379326581955,2.5031557083129883,-0.8059616684913635
1751306410.5359385,3.681168556213379,-0.23892302811145782,2.5031609535217285,-0.8059809803962708
1751306410.5559306,3.681244373321533,-0.23884865641593933,2.5031490325927734,-0.8059733510017395
1751306410.5659454,3.6812691688537598,-0.2388167381286621,2.5031487941741943,-0.8059696555137634
1751306410.5859253,3.680652379989624,-0.23915186524391174,2.5031542778015137,-0.8059751987457275
1751306410.5959265,3.6806089878082275,-0.23916395008563995,2.5031442642211914,-0.8059651851654053
